year,fixture_id,round,home_team,away_team,home_goals,away_goals,home_team_odds,draw_odds,away_team_odds,favourite_team,favourite_odds,outsider_team,outsider_odds,result,result_entity,result_team,result_odds,bookie_correct
2002,59,Quarter Final,Brazil,Belgium,2,0,1.41,4.34,7.86,Brazil,1.41,Belgium,7.86,home,favourite,Brazil,1.41,TRUE
2002,60,Quarter Final,Mexico,USA,0,2,2.1,3.04,3.81,Mexico,2.1,USA,3.81,away,outsider,USA,3.81,FALSE
2002,61,Semi Final,Spain,Ireland,1,1,1.58,3.62,6.19,Spain,1.58,Ireland,6.19,draw,draw,Draw,3.62,FALSE
2002,62,Semi Final,Sweden,Senegal,1,1,2.19,3.09,3.51,Sweden,2.19,Senegal,3.51,draw,draw,Draw,3.09,FALSE
2002,63,Third Place,Denmark,England,0,3,3.77,3.09,2.08,England,2.08,Denmark,3.77,away,favourite,England,2.08,TRUE
2002,64,Final,Germany,Paraguay,1,0,1.71,3.36,5.23,Germany,1.71,Paraguay,5.23,home,favourite,Germany,1.71,TRUE
2006,1,1,Poland,Ecuador,0,2,1.93,3.25,4.05,Poland,1.93,Ecuador,4.05,away,outsider,Ecuador,4.05,FALSE
2006,2,1,Germany,Costa Rica,4,2,1.25,5.04,12.03,Germany,1.25,Costa Rica,12.03,home,favourite,Germany,1.25,TRUE
2006,3,1,Trinidad & Tobago,Sweden,0,0,16.00,5.65,1.23,Sweden,1.23,Trinidad & Tobago,16,draw,draw,Draw,5.65,FALSE
2006,4,1,England,Paraguay,1,0,1.61,3.38,6.20,England,1.61,Paraguay,6.2,home,favourite,England,1.61,TRUE
2006,5,1,Argentina,Ivory Coast,2,1,1.60,3.60,6.75,Argentina,1.6,Ivory Coast,6.75,home,favourite,Argentina,1.6,TRUE
2006,6,1,Serbia & Montenegro,Netherlands,0,1,4.19,3.12,1.88,Netherlands,1.88,Serbia & Montenegro,4.19,away,favourite,Netherlands,1.88,TRUE
2006,7,1,Mexico,Iran,3,1,1.56,3.65,6.87,Mexico,1.56,Iran,6.87,home,favourite,Mexico,1.56,TRUE
2006,8,1,Angola,Portugal,0,1,9.00,3.75,1.33,Portugal,1.33,Angola,9,away,favourite,Portugal,1.33,TRUE
2006,9,1,USA,Czech Republic,0,3,4.10,3.25,1.88,Czech Republic,1.88,USA,4.1,away,favourite,Czech Republic,1.88,TRUE
2006,10,1,Italy,Ghana,2,0,1.52,3.40,6.75,Italy,1.52,Ghana,6.75,home,favourite,Italy,1.52,TRUE
2006,11,1,Australia,Japan,3,1,2.48,3.13,2.88,Australia,2.48,Japan,2.88,home,favourite,Australia,2.48,TRUE
2006,12,1,Brazil,Croatia,1,0,1.40,3.50,8.00,Brazil,1.4,Croatia,8,home,favourite,Brazil,1.4,TRUE
2006,13,1,South Korea,Togo,2,1,1.97,3.09,3.63,South Korea,1.97,Togo,3.63,home,favourite,South Korea,1.97,TRUE
2006,14,1,France,Switzerland,0,0,1.66,3.25,5.40,France,1.66,Switzerland,5.4,draw,draw,Draw,3.25,FALSE
2006,15,1,Germany,Poland,1,0,1.00,1.00,1.00,Poland,1,Poland,1,home,favourite,Germany,1,TRUE
2006,16,1,Tunisia,Saudi Arabia,2,2,1.00,1.00,1.00,Saudi Arabia,1,Saudi Arabia,1,draw,draw,Draw,1,FALSE
2006,17,2,Spain,Ukraine,4,0,1.83,3.20,4.52,Spain,1.83,Ukraine,4.52,home,favourite,Spain,1.83,TRUE
2006,18,2,Ecuador,Costa Rica,3,0,1.93,3.18,3.97,Ecuador,1.93,Costa Rica,3.97,home,favourite,Ecuador,1.93,TRUE
2006,19,2,Sweden,Paraguay,1,0,1.93,3.18,3.97,Sweden,1.93,Paraguay,3.97,home,favourite,Sweden,1.93,TRUE
2006,20,2,England,Trinidad & Tobago,2,0,1.13,6.38,22.00,England,1.13,Trinidad & Tobago,22,home,favourite,England,1.13,TRUE
2006,21,2,Netherlands,Ivory Coast,2,1,1.93,3.20,3.93,Netherlands,1.93,Ivory Coast,3.93,home,favourite,Netherlands,1.93,TRUE
2006,22,2,Argentina,Serbia & Montenegro,6,0,1.00,1.00,1.00,Serbia & Montenegro,1,Serbia & Montenegro,1,home,favourite,Argentina,1,TRUE
2006,23,2,Mexico,Angola,0,0,1.40,3.50,8.00,Mexico,1.4,Angola,8,draw,draw,Draw,3.5,FALSE
2006,24,2,Portugal,Iran,2,0,1.30,4.00,9.50,Portugal,1.3,Iran,9.5,home,favourite,Portugal,1.3,TRUE
2006,25,2,Italy,USA,1,1,1.00,1.00,1.00,USA,1,USA,1,draw,draw,Draw,1,FALSE
2006,26,2,Czech Republic,Ghana,0,2,1.61,3.30,5.00,Czech Republic,1.61,Ghana,5,away,outsider,Ghana,5,FALSE
2006,27,2,Japan,Croatia,0,0,5.00,3.30,1.61,Croatia,1.61,Japan,5,draw,draw,Draw,3.3,FALSE
2006,28,2,Brazil,Australia,2,0,1.20,5.00,11.00,Brazil,1.2,Australia,11,home,favourite,Brazil,1.2,TRUE
2006,29,2,France,South Korea,1,1,1.44,3.50,7.00,France,1.44,South Korea,7,draw,draw,Draw,3.5,FALSE
2006,30,2,Togo,Switzerland,0,2,6.50,3.60,1.44,Switzerland,1.44,Togo,6.5,away,favourite,Switzerland,1.44,TRUE
2006,31,2,Spain,Tunisia,3,1,1.30,4.00,9.50,Spain,1.3,Tunisia,9.5,home,favourite,Spain,1.3,TRUE
2006,32,2,Saudi Arabia,Ukraine,0,4,7.00,3.75,1.40,Ukraine,1.4,Saudi Arabia,7,away,favourite,Ukraine,1.4,TRUE
2006,33,3,Ecuador,Germany,0,3,1.00,1.00,1.00,Germany,1,Germany,1,away,favourite,Germany,1,TRUE
2006,34,3,Costa Rica,Poland,1,2,4.75,3.45,1.71,Poland,1.71,Costa Rica,4.75,away,favourite,Poland,1.71,TRUE
2006,35,3,Sweden,England,2,2,3.10,2.62,2.37,England,2.37,Sweden,3.1,draw,draw,Draw,2.62,FALSE
2006,36,3,Paraguay,Trinidad & Tobago,2,0,1.80,3.75,3.30,Paraguay,1.8,Trinidad & Tobago,3.3,home,favourite,Paraguay,1.8,TRUE
2006,37,3,Netherlands,Argentina,0,0,3.40,3.00,2.00,Argentina,2,Netherlands,3.4,draw,draw,Draw,3,FALSE
2006,38,3,Ivory Coast,Serbia & Montenegro,3,2,2.10,3.20,3.00,Ivory Coast,2.1,Serbia & Montenegro,3,home,favourite,Ivory Coast,2.1,TRUE
2006,39,3,Portugal,Mexico,2,1,2.20,2.62,3.50,Portugal,2.2,Mexico,3.5,home,favourite,Portugal,2.2,TRUE
2006,40,3,Iran,Angola,1,1,2.40,3.10,2.60,Iran,2.4,Angola,2.6,draw,draw,Draw,3.1,FALSE
2006,41,3,Ghana,USA,2,1,2.20,3.25,2.75,Ghana,2.2,USA,2.75,home,favourite,Ghana,2.2,TRUE
2006,42,3,Czech Republic,Italy,0,2,3.95,3.15,1.95,Italy,1.95,Czech Republic,3.95,away,favourite,Italy,1.95,TRUE
2006,43,3,Japan,Brazil,1,4,12.00,5.25,1.21,Brazil,1.21,Japan,12,away,favourite,Brazil,1.21,TRUE
2006,44,3,Croatia,Australia,2,2,2.22,3.22,3.00,Croatia,2.22,Australia,3,draw,draw,Draw,3.22,FALSE
2006,45,3,Togo,France,0,2,16.05,7.20,1.14,France,1.14,Togo,16.05,away,favourite,France,1.14,TRUE
2006,46,3,Switzerland,South Korea,2,0,2.02,2.89,4.30,Switzerland,2.02,South Korea,4.3,home,favourite,Switzerland,2.02,TRUE
2006,47,3,Ukraine,Tunisia,1,0,1.61,3.55,6.10,Ukraine,1.61,Tunisia,6.1,home,favourite,Ukraine,1.61,TRUE
2006,48,3,Saudi Arabia,Spain,0,1,16.24,6.69,1.15,Spain,1.15,Saudi Arabia,16.24,away,favourite,Spain,1.15,TRUE
2006,49,Round of 16,Germany ,Sweden,2,0,1.60,3.65,5.89,Germany ,1.6,Sweden,5.89,home,favourite,Germany ,1.6,TRUE
2006,50,Round of 16,Argentina ,Mexico,1,1,1.36,4.27,10.18,Argentina ,1.36,Mexico,10.18,draw,draw,Draw,4.27,FALSE
2006,51,Round of 16,England ,Ecuador,1,0,1.49,3.86,7.37,England ,1.49,Ecuador,7.37,home,favourite,England ,1.49,TRUE
2006,52,Round of 16,Portugal ,Netherlands,1,0,3.12,3.07,2.44,Netherlands,2.44,Portugal ,3.12,home,outsider,Portugal ,3.12,FALSE
2006,53,Round of 16,Italy ,Australia,1,0,1.52,3.82,6.95,Italy ,1.52,Australia,6.95,home,favourite,Italy ,1.52,TRUE
2006,54,Round of 16,Switzerland ,Ukraine,0,0,2.37,3.11,3.17,Switzerland ,2.37,Ukraine,3.17,draw,draw,Draw,3.11,FALSE
2006,55,Round of 16,Brazil ,Ghana,3,0,1.27,5.41,10.34,Brazil ,1.27,Ghana,10.34,home,favourite,Brazil ,1.27,TRUE
2006,56,Round of 16,Spain ,France,1,3,2.37,3.01,3.21,Spain ,2.37,France,3.21,away,outsider,France,3.21,FALSE
2006,57,Quarter Final,Germany ,Argentina,1,1,2.50,3.07,2.99,Germany ,2.5,Argentina,2.99,draw,draw,Draw,3.07,FALSE
2006,58,Quarter Final,Italy ,Ukraine,3,0,1.57,3.48,6.94,Italy ,1.57,Ukraine,6.94,home,favourite,Italy ,1.57,TRUE
2006,59,Quarter Final,England ,Portugal,0,0,2.10,2.99,4.00,England ,2.1,Portugal,4,draw,draw,Draw,2.99,FALSE
2006,60,Quarter Final,Brazil ,France,0,1,1.75,3.41,4.99,Brazil ,1.75,France,4.99,away,outsider,France,4.99,FALSE
2006,61,Semi Final,Germany ,Italy,0,0,2.46,2.89,3.27,Germany ,2.46,Italy,3.27,draw,draw,Draw,2.89,FALSE
2006,62,Semi Final,Portugal ,France,0,1,3.92,2.86,2.20,France,2.2,Portugal ,3.92,away,favourite,France,2.2,TRUE
2006,63,Third Place,Germany ,Portugal,3,1,1.88,3.41,4.30,Germany ,1.88,Portugal,4.3,home,favourite,Germany ,1.88,TRUE
